类别,名称或地点,本地文件,宽,高,来源类型,来源网页,原图链接,说明
官方主视觉,发行商新闻稿主视觉,01-official-key-visuals/147227-52-c5bdbf1106f897feb797bd4ecac978b8-1920x1080.png,1920,1080,VISUAL ARTS 官方新闻稿,https://prtimes.jp/main/html/rd/p/000000052.000147227.html,https://prcdn.freetls.fastly.net/release_image/147227/52/147227-52-c5bdbf1106f897feb797bd4ecac978b8-1920x1080.png,
官方主视觉,发行商新闻稿故事场景,01-official-key-visuals/147227-52-b676fd040d578cac3eeecdc8f8615154-1920x1080.png,1920,1080,VISUAL ARTS 官方新闻稿,https://prtimes.jp/main/html/rd/p/000000052.000147227.html,https://prcdn.freetls.fastly.net/release_image/147227/52/147227-52-b676fd040d578cac3eeecdc8f8615154-1920x1080.png,
官方主视觉,官网手机版主视觉,01-official-key-visuals/fv_main_bg_sp.jpg,800,1274,Key 官网,https://key.visualarts.gr.jp/anemoi/,https://key.visualarts.gr.jp/anemoi/common/image/fv_main_bg_sp.jpg?b,
官方主视觉,官网首页主视觉,01-official-key-visuals/fv_main_bg.jpg,1920,1080,Key 官网,https://key.visualarts.gr.jp/anemoi/common/css/base.css,https://key.visualarts.gr.jp/anemoi/common/image/fv_main_bg.jpg?b,
官方背景 CG,01 / 乡间道路,02-official-backgrounds/am_bg_1.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_bg_1.jpg,
官方背景 CG,02 / 风来望 · 风车基座,02-official-backgrounds/am_bg_2.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_bg_2.jpg,
官方背景 CG,03 / 酒吧内部,02-official-backgrounds/am_bg_3.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_bg_3.jpg,
官方背景 CG,04 / 仓房与筒仓,02-official-backgrounds/am_bg_4.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_bg_4.jpg,
官方背景 CG,05 / 风车仰视,02-official-backgrounds/am_bg_5.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_bg_5.jpg,
官方背景 CG,06 / 初山别天文台 · 外观,02-official-backgrounds/am_bg_6.jpg,1280,720,Key 官网,https://key.visualarts.gr.jp/anemoi/gallery.html,https://key.visualarts.gr.jp/anemoi/common/image/am_bg_6.jpg,
